Total Nacional;Municipios;Sexo;Unidades de medida;Total
Total Nacional;01036 Laudio/Llodio;Ambos sexos;Personas;18.005
Total Nacional;01036 Laudio/Llodio;Hombres;Personas;8.756
Total Nacional;01036 Laudio/Llodio;Mujeres;Personas;9.249
Total Nacional;01058 Legutio;Ambos sexos;Personas;1.993
Total Nacional;01058 Legutio;Hombres;Personas;1.055
Total Nacional;01058 Legutio;Mujeres;Personas;938
Total Nacional;01034 Leza;Ambos sexos;Personas;219
Total Nacional;01034 Leza;Hombres;Personas;112
Total Nacional;01034 Leza;Mujeres;Personas;107
Total Nacional;01039 Moreda de Álava/Moreda Araba;Ambos sexos;Personas;212
Total Nacional;01039 Moreda de Álava/Moreda Araba;Hombres;Personas;109
Total Nacional;01039 Moreda de Álava/Moreda Araba;Mujeres;Personas;103
Total Nacional;01041 Navaridas;Ambos sexos;Personas;196
Total Nacional;01041 Navaridas;Hombres;Personas;110
Total Nacional;01041 Navaridas;Mujeres;Personas;86
Total Nacional;01042 Okondo;Ambos sexos;Personas;1.195
Total Nacional;01042 Okondo;Hombres;Personas;626
Total Nacional;01042 Okondo;Mujeres;Personas;569
Total Nacional;01043 Oyón-Oion;Ambos sexos;Personas;3.455
Total Nacional;01043 Oyón-Oion;Hombres;Personas;1.755
Total Nacional;01043 Oyón-Oion;Mujeres;Personas;1.700
Total Nacional;01044 Peñacerrada-Urizaharra;Ambos sexos;Personas;300
Total Nacional;01044 Peñacerrada-Urizaharra;Hombres;Personas;178
Total Nacional;01044 Peñacerrada-Urizaharra;Mujeres;Personas;122
Total Nacional;01052 Samaniego;Ambos sexos;Personas;308
Total Nacional;01052 Samaniego;Hombres;Personas;147
Total Nacional;01052 Samaniego;Mujeres;Personas;161
Total Nacional;01053 San Millán/Donemiliaga;Ambos sexos;Personas;720
Total Nacional;01053 San Millán/Donemiliaga;Hombres;Personas;391
Total Nacional;01053 San Millán/Donemiliaga;Mujeres;Personas;329
Total Nacional;01054 Urkabustaiz;Ambos sexos;Personas;1.417
Total Nacional;01054 Urkabustaiz;Hombres;Personas;735
Total Nacional;01054 Urkabustaiz;Mujeres;Personas;682
Total Nacional;01055 Valdegovía/Gaubea;Ambos sexos;Personas;1.047
Total Nacional;01055 Valdegovía/Gaubea;Hombres;Personas;567
Total Nacional;01055 Valdegovía/Gaubea;Mujeres;Personas;480
Total Nacional;01057 Villabuena de Álava/Eskuernaga;Ambos sexos;Personas;287
Total Nacional;01057 Villabuena de Álava/Eskuernaga;Hombres;Personas;148
Total Nacional;01057 Villabuena de Álava/Eskuernaga;Mujeres;Personas;139
Total Nacional;01059 Vitoria-Gasteiz;Ambos sexos;Personas;252.953
Total Nacional;01059 Vitoria-Gasteiz;Hombres;Personas;123.116
Total Nacional;01059 Vitoria-Gasteiz;Mujeres;Personas;129.837
Total Nacional;01060 Yécora/Iekora;Ambos sexos;Personas;266
Total Nacional;01060 Yécora/Iekora;Hombres;Personas;135
Total Nacional;01060 Yécora/Iekora;Mujeres;Personas;131
Total Nacional;01061 Zalduondo;Ambos sexos;Personas;192
Total Nacional;01061 Zalduondo;Hombres;Personas;105
Total Nacional;01061 Zalduondo;Mujeres;Personas;87
Total Nacional;01062 Zambrana;Ambos sexos;Personas;430
Total Nacional;01062 Zambrana;Hombres;Personas;233
Total Nacional;01062 Zambrana;Mujeres;Personas;197
Total Nacional;01018 Zigoitia;Ambos sexos;Personas;1.804
Total Nacional;01018 Zigoitia;Hombres;Personas;974
Total Nacional;01018 Zigoitia;Mujeres;Personas;830
Total Nacional;01063 Zuia;Ambos sexos;Personas;2.319
Total Nacional;01063 Zuia;Hombres;Personas;1.212
Total Nacional;01063 Zuia;Mujeres;Personas;1.107
Total Nacional;02001 Abengibre;Ambos sexos;Personas;752
Total Nacional;02001 Abengibre;Hombres;Personas;369
Total Nacional;02001 Abengibre;Mujeres;Personas;383
Total Nacional;02002 Alatoz;Ambos sexos;Personas;510
Total Nacional;02002 Alatoz;Hombres;Personas;282
Total Nacional;02002 Alatoz;Mujeres;Personas;228
Total Nacional;02003 Albacete;Ambos sexos;Personas;172.806
Total Nacional;02003 Albacete;Hombres;Personas;84.447
Total Nacional;02003 Albacete;Mujeres;Personas;88.359
Total Nacional;02004 Albatana;Ambos sexos;Personas;679
Total Nacional;02004 Albatana;Hombres;Personas;352
Total Nacional;02004 Albatana;Mujeres;Personas;327
Total Nacional;02005 Alborea;Ambos sexos;Personas;685
Total Nacional;02005 Alborea;Hombres;Personas;359
Total Nacional;02005 Alborea;Mujeres;Personas;326
Total Nacional;02006 Alcadozo;Ambos sexos;Personas;633
Total Nacional;02006 Alcadozo;Hombres;Personas;344
Total Nacional;02006 Alcadozo;Mujeres;Personas;289
Total Nacional;02007 Alcalá del Júcar;Ambos sexos;Personas;1.160
Total Nacional;02007 Alcalá del Júcar;Hombres;Personas;626
Total Nacional;02007 Alcalá del Júcar;Mujeres;Personas;534
Total Nacional;02008 Alcaraz;Ambos sexos;Personas;1.316
Total Nacional;02008 Alcaraz;Hombres;Personas;684
Total Nacional;02008 Alcaraz;Mujeres;Personas;632
Total Nacional;02009 Almansa;Ambos sexos;Personas;24.377
Total Nacional;02009 Almansa;Hombres;Personas;12.108
Total Nacional;02009 Almansa;Mujeres;Personas;12.269
Total Nacional;02010 Alpera;Ambos sexos;Personas;2.290
Total Nacional;02010 Alpera;Hombres;Personas;1.195
Total Nacional;02010 Alpera;Mujeres;Personas;1.095
Total Nacional;02011 Ayna;Ambos sexos;Personas;585
Total Nacional;02011 Ayna;Hombres;Personas;314
Total Nacional;02011 Ayna;Mujeres;Personas;271
Total Nacional;02012 Balazote;Ambos sexos;Personas;2.355
Total Nacional;02012 Balazote;Hombres;Personas;1.203
Total Nacional;02012 Balazote;Mujeres;Personas;1.152
Total Nacional;02014 Ballestero, El;Ambos sexos;Personas;413
Total Nacional;02014 Ballestero, El;Hombres;Personas;217
Total Nacional;02014 Ballestero, El;Mujeres;Personas;196
Total Nacional;02013 Balsa de Ves;Ambos sexos;Personas;130
Total Nacional;02013 Balsa de Ves;Hombres;Personas;74
Total Nacional;02013 Balsa de Ves;Mujeres;Personas;56
Total Nacional;02015 Barrax;Ambos sexos;Personas;1.836
Total Nacional;02015 Barrax;Hombres;Personas;944
Total Nacional;02015 Barrax;Mujeres;Personas;892
Total Nacional;02016 Bienservida;Ambos sexos;Personas;596
Total Nacional;02016 Bienservida;Hombres;Personas;321
Total Nacional;02016 Bienservida;Mujeres;Personas;275
Total Nacional;02017 Bogarra;Ambos sexos;Personas;768
Total Nacional;02017 Bogarra;Hombres;Personas;409
Total Nacional;02017 Bogarra;Mujeres;Personas;359
Total Nacional;02018 Bonete;Ambos sexos;Personas;1.025
Total Nacional;02018 Bonete;Hombres;Personas;535
Total Nacional;02018 Bonete;Mujeres;Personas;490
Total Nacional;02019 Bonillo, El;Ambos sexos;Personas;2.717
Total Nacional;02019 Bonillo, El;Hombres;Personas;1.374
Total Nacional;02019 Bonillo, El;Mujeres;Personas;1.343
Total Nacional;02020 Carcelén;Ambos sexos;Personas;500
Total Nacional;02020 Carcelén;Hombres;Personas;274
Total Nacional;02020 Carcelén;Mujeres;Personas;226
Total Nacional;02021 Casas de Juan Núñez;Ambos sexos;Personas;1.361
Total Nacional;02021 Casas de Juan Núñez;Hombres;Personas;727
Total Nacional;02021 Casas de Juan Núñez;Mujeres;Personas;634
Total Nacional;02022 Casas de Lázaro;Ambos sexos;Personas;327
Total Nacional;02022 Casas de Lázaro;Hombres;Personas;179
Total Nacional;02022 Casas de Lázaro;Mujeres;Personas;148
Total Nacional;02023 Casas de Ves;Ambos sexos;Personas;565
Total Nacional;02023 Casas de Ves;Hombres;Personas;300
