Total Nacional;Municipios;Sexo;Unidades de medida;Total
Total Nacional;09061 Cabañes de Esgueva;Ambos sexos;Personas;163
Total Nacional;09061 Cabañes de Esgueva;Hombres;Personas;92
Total Nacional;09061 Cabañes de Esgueva;Mujeres;Personas;71
Total Nacional;09062 Cabezón de la Sierra;Ambos sexos;Personas;40
Total Nacional;09062 Cabezón de la Sierra;Hombres;Personas;16
Total Nacional;09062 Cabezón de la Sierra;Mujeres;Personas;24
Total Nacional;09064 Caleruega;Ambos sexos;Personas;414
Total Nacional;09064 Caleruega;Hombres;Personas;208
Total Nacional;09064 Caleruega;Mujeres;Personas;206
Total Nacional;09065 Campillo de Aranda;Ambos sexos;Personas;165
Total Nacional;09065 Campillo de Aranda;Hombres;Personas;96
Total Nacional;09065 Campillo de Aranda;Mujeres;Personas;69
Total Nacional;09066 Campolara;Ambos sexos;Personas;56
Total Nacional;09066 Campolara;Hombres;Personas;40
Total Nacional;09066 Campolara;Mujeres;Personas;16
Total Nacional;09067 Canicosa de la Sierra;Ambos sexos;Personas;434
Total Nacional;09067 Canicosa de la Sierra;Hombres;Personas;231
Total Nacional;09067 Canicosa de la Sierra;Mujeres;Personas;203
Total Nacional;09068 Cantabrana;Ambos sexos;Personas;25
Total Nacional;09068 Cantabrana;Hombres;Personas;15
Total Nacional;09068 Cantabrana;Mujeres;Personas;10
Total Nacional;09070 Carazo;Ambos sexos;Personas;30
Total Nacional;09070 Carazo;Hombres;Personas;20
Total Nacional;09070 Carazo;Mujeres;Personas;10
Total Nacional;09071 Carcedo de Bureba;Ambos sexos;Personas;45
Total Nacional;09071 Carcedo de Bureba;Hombres;Personas;24
Total Nacional;09071 Carcedo de Bureba;Mujeres;Personas;21
Total Nacional;09072 Carcedo de Burgos;Ambos sexos;Personas;448
Total Nacional;09072 Carcedo de Burgos;Hombres;Personas;237
Total Nacional;09072 Carcedo de Burgos;Mujeres;Personas;211
Total Nacional;09073 Cardeñadijo;Ambos sexos;Personas;1.417
Total Nacional;09073 Cardeñadijo;Hombres;Personas;783
Total Nacional;09073 Cardeñadijo;Mujeres;Personas;634
Total Nacional;09074 Cardeñajimeno;Ambos sexos;Personas;1.175
Total Nacional;09074 Cardeñajimeno;Hombres;Personas;627
Total Nacional;09074 Cardeñajimeno;Mujeres;Personas;548
Total Nacional;09075 Cardeñuela Riopico;Ambos sexos;Personas;109
Total Nacional;09075 Cardeñuela Riopico;Hombres;Personas;64
Total Nacional;09075 Cardeñuela Riopico;Mujeres;Personas;45
Total Nacional;09076 Carrias;Ambos sexos;Personas;25
Total Nacional;09076 Carrias;Hombres;Personas;18
Total Nacional;09076 Carrias;Mujeres;Personas;7
Total Nacional;09077 Cascajares de Bureba;Ambos sexos;Personas;29
Total Nacional;09077 Cascajares de Bureba;Hombres;Personas;16
Total Nacional;09077 Cascajares de Bureba;Mujeres;Personas;13
Total Nacional;09078 Cascajares de la Sierra;Ambos sexos;Personas;32
Total Nacional;09078 Cascajares de la Sierra;Hombres;Personas;18
Total Nacional;09078 Cascajares de la Sierra;Mujeres;Personas;14
Total Nacional;09079 Castellanos de Castro;Ambos sexos;Personas;49
Total Nacional;09079 Castellanos de Castro;Hombres;Personas;29
Total Nacional;09079 Castellanos de Castro;Mujeres;Personas;20
Total Nacional;09083 Castil de Peones;Ambos sexos;Personas;25
Total Nacional;09083 Castil de Peones;Hombres;Personas;13
Total Nacional;09083 Castil de Peones;Mujeres;Personas;12
Total Nacional;09082 Castildelgado;Ambos sexos;Personas;33
Total Nacional;09082 Castildelgado;Hombres;Personas;19
Total Nacional;09082 Castildelgado;Mujeres;Personas;14
Total Nacional;09084 Castrillo de la Reina;Ambos sexos;Personas;173
Total Nacional;09084 Castrillo de la Reina;Hombres;Personas;116
Total Nacional;09084 Castrillo de la Reina;Mujeres;Personas;57
Total Nacional;09085 Castrillo de la Vega;Ambos sexos;Personas;645
Total Nacional;09085 Castrillo de la Vega;Hombres;Personas;343
Total Nacional;09085 Castrillo de la Vega;Mujeres;Personas;302
Total Nacional;09088 Castrillo de Riopisuerga;Ambos sexos;Personas;59
Total Nacional;09088 Castrillo de Riopisuerga;Hombres;Personas;35
Total Nacional;09088 Castrillo de Riopisuerga;Mujeres;Personas;24
Total Nacional;09086 Castrillo del Val;Ambos sexos;Personas;807
Total Nacional;09086 Castrillo del Val;Hombres;Personas;455
Total Nacional;09086 Castrillo del Val;Mujeres;Personas;352
Total Nacional;09090 Castrillo Mota de Judíos;Ambos sexos;Personas;49
Total Nacional;09090 Castrillo Mota de Judíos;Hombres;Personas;26
Total Nacional;09090 Castrillo Mota de Judíos;Mujeres;Personas;23
Total Nacional;09091 Castrojeriz;Ambos sexos;Personas;762
Total Nacional;09091 Castrojeriz;Hombres;Personas;406
Total Nacional;09091 Castrojeriz;Mujeres;Personas;356
Total Nacional;09063 Cavia;Ambos sexos;Personas;251
Total Nacional;09063 Cavia;Hombres;Personas;151
Total Nacional;09063 Cavia;Mujeres;Personas;100
Total Nacional;09093 Cayuela;Ambos sexos;Personas;189
Total Nacional;09093 Cayuela;Hombres;Personas;108
Total Nacional;09093 Cayuela;Mujeres;Personas;81
Total Nacional;09094 Cebrecos;Ambos sexos;Personas;54
Total Nacional;09094 Cebrecos;Hombres;Personas;34
Total Nacional;09094 Cebrecos;Mujeres;Personas;20
Total Nacional;09095 Celada del Camino;Ambos sexos;Personas;102
Total Nacional;09095 Celada del Camino;Hombres;Personas;48
Total Nacional;09095 Celada del Camino;Mujeres;Personas;54
Total Nacional;09098 Cerezo de Río Tirón;Ambos sexos;Personas;532
Total Nacional;09098 Cerezo de Río Tirón;Hombres;Personas;290
Total Nacional;09098 Cerezo de Río Tirón;Mujeres;Personas;242
Total Nacional;09100 Cerratón de Juarros;Ambos sexos;Personas;52
Total Nacional;09100 Cerratón de Juarros;Hombres;Personas;35
Total Nacional;09100 Cerratón de Juarros;Mujeres;Personas;17
Total Nacional;09101 Ciadoncha;Ambos sexos;Personas;76
Total Nacional;09101 Ciadoncha;Hombres;Personas;48
Total Nacional;09101 Ciadoncha;Mujeres;Personas;28
Total Nacional;09102 Cillaperlata;Ambos sexos;Personas;30
Total Nacional;09102 Cillaperlata;Hombres;Personas;20
Total Nacional;09102 Cillaperlata;Mujeres;Personas;10
Total Nacional;09103 Cilleruelo de Abajo;Ambos sexos;Personas;224
Total Nacional;09103 Cilleruelo de Abajo;Hombres;Personas;128
Total Nacional;09103 Cilleruelo de Abajo;Mujeres;Personas;96
Total Nacional;09104 Cilleruelo de Arriba;Ambos sexos;Personas;41
Total Nacional;09104 Cilleruelo de Arriba;Hombres;Personas;21
Total Nacional;09104 Cilleruelo de Arriba;Mujeres;Personas;20
Total Nacional;09105 Ciruelos de Cervera;Ambos sexos;Personas;105
Total Nacional;09105 Ciruelos de Cervera;Hombres;Personas;62
Total Nacional;09105 Ciruelos de Cervera;Mujeres;Personas;43
Total Nacional;09108 Cogollos;Ambos sexos;Personas;587
Total Nacional;09108 Cogollos;Hombres;Personas;332
Total Nacional;09108 Cogollos;Mujeres;Personas;255
Total Nacional;09109 Condado de Treviño;Ambos sexos;Personas;1.422
Total Nacional;09109 Condado de Treviño;Hombres;Personas;783
Total Nacional;09109 Condado de Treviño;Mujeres;Personas;639
Total Nacional;09110 Contreras;Ambos sexos;Personas;81
Total Nacional;09110 Contreras;Hombres;Personas;52
Total Nacional;09110 Contreras;Mujeres;Personas;29
Total Nacional;09112 Coruña del Conde;Ambos sexos;Personas;105
Total Nacional;09112 Coruña del Conde;Hombres;Personas;67
Total Nacional;09112 Coruña del Conde;Mujeres;Personas;38
Total Nacional;09113 Covarrubias;Ambos sexos;Personas;536
Total Nacional;09113 Covarrubias;Hombres;Personas;288
Total Nacional;09113 Covarrubias;Mujeres;Personas;248
Total Nacional;09114 Cubillo del Campo;Ambos sexos;Personas;102
Total Nacional;09114 Cubillo del Campo;Hombres;Personas;60
Total Nacional;09114 Cubillo del Campo;Mujeres;Personas;42
Total Nacional;09115 Cubo de Bureba;Ambos sexos;Personas;106
Total Nacional;09115 Cubo de Bureba;Hombres;Personas;61
Total Nacional;09115 Cubo de Bureba;Mujeres;Personas;45
Total Nacional;09117 Cueva de Roa, La;Ambos sexos;Personas;104
Total Nacional;09117 Cueva de Roa, La;Hombres;Personas;52
Total Nacional;09117 Cueva de Roa, La;Mujeres;Personas;52
Total Nacional;09119 Cuevas de San Clemente;Ambos sexos;Personas;42
Total Nacional;09119 Cuevas de San Clemente;Hombres;Personas;18
Total Nacional;09119 Cuevas de San Clemente;Mujeres;Personas;24
Total Nacional;09120 Encío;Ambos sexos;Personas;43
Total Nacional;09120 Encío;Hombres;Personas;21
Total Nacional;09120 Encío;Mujeres;Personas;22
Total Nacional;09122 Espinosa de Cervera;Ambos sexos;Personas;90
Total Nacional;09122 Espinosa de Cervera;Hombres;Personas;58
Total Nacional;09122 Espinosa de Cervera;Mujeres;Personas;32
Total Nacional;09124 Espinosa de los Monteros;Ambos sexos;Personas;1.671
Total Nacional;09124 Espinosa de los Monteros;Hombres;Personas;864
Total Nacional;09124 Espinosa de los Monteros;Mujeres;Personas;807
Total Nacional;09123 Espinosa del Camino;Ambos sexos;Personas;46
Total Nacional;09123 Espinosa del Camino;Hombres;Personas;28
Total Nacional;09123 Espinosa del Camino;Mujeres;Personas;18
Total Nacional;09125 Estépar;Ambos sexos;Personas;604
Total Nacional;09125 Estépar;Hombres;Personas;356
Total Nacional;09125 Estépar;Mujeres;Personas;248
Total Nacional;09127 Fontioso;Ambos sexos;Personas;50
Total Nacional;09127 Fontioso;Hombres;Personas;31
Total Nacional;09127 Fontioso;Mujeres;Personas;19
Total Nacional;09128 Frandovínez;Ambos sexos;Personas;97
Total Nacional;09128 Frandovínez;Hombres;Personas;55
Total Nacional;09128 Frandovínez;Mujeres;Personas;42
Total Nacional;09129 Fresneda de la Sierra Tirón;Ambos sexos;Personas;94
Total Nacional;09129 Fresneda de la Sierra Tirón;Hombres;Personas;57
Total Nacional;09129 Fresneda de la Sierra Tirón;Mujeres;Personas;37
Total Nacional;09130 Fresneña;Ambos sexos;Personas;69
Total Nacional;09130 Fresneña;Hombres;Personas;44
Total Nacional;09130 Fresneña;Mujeres;Personas;25
Total Nacional;09131 Fresnillo de las Dueñas;Ambos sexos;Personas;694
Total Nacional;09131 Fresnillo de las Dueñas;Hombres;Personas;356
Total Nacional;09131 Fresnillo de las Dueñas;Mujeres;Personas;338
Total Nacional;09132 Fresno de Río Tirón;Ambos sexos;Personas;178
Total Nacional;09132 Fresno de Río Tirón;Hombres;Personas;105
Total Nacional;09132 Fresno de Río Tirón;Mujeres;Personas;73
Total Nacional;09133 Fresno de Rodilla;Ambos sexos;Personas;46
Total Nacional;09133 Fresno de Rodilla;Hombres;Personas;26
Total Nacional;09133 Fresno de Rodilla;Mujeres;Personas;20
Total Nacional;09134 Frías;Ambos sexos;Personas;270
Total Nacional;09134 Frías;Hombres;Personas;142
Total Nacional;09134 Frías;Mujeres;Personas;128
Total Nacional;09135 Fuentebureba;Ambos sexos;Personas;43
Total Nacional;09135 Fuentebureba;Hombres;Personas;25
Total Nacional;09135 Fuentebureba;Mujeres;Personas;18
Total Nacional;09136 Fuentecén;Ambos sexos;Personas;223
Total Nacional;09136 Fuentecén;Hombres;Personas;120
Total Nacional;09136 Fuentecén;Mujeres;Personas;103
Total Nacional;09137 Fuentelcésped;Ambos sexos;Personas;260
Total Nacional;09137 Fuentelcésped;Hombres;Personas;131
Total Nacional;09137 Fuentelcésped;Mujeres;Personas;129
Total Nacional;09138 Fuentelisendo;Ambos sexos;Personas;105
Total Nacional;09138 Fuentelisendo;Hombres;Personas;57
Total Nacional;09138 Fuentelisendo;Mujeres;Personas;48
Total Nacional;09139 Fuentemolinos;Ambos sexos;Personas;99
Total Nacional;09139 Fuentemolinos;Hombres;Personas;68
Total Nacional;09139 Fuentemolinos;Mujeres;Personas;31
Total Nacional;09140 Fuentenebro;Ambos sexos;Personas;148
Total Nacional;09140 Fuentenebro;Hombres;Personas;91
Total Nacional;09140 Fuentenebro;Mujeres;Personas;57
Total Nacional;09141 Fuentespina;Ambos sexos;Personas;772
Total Nacional;09141 Fuentespina;Hombres;Personas;403
Total Nacional;09141 Fuentespina;Mujeres;Personas;369
Total Nacional;09143 Galbarros;Ambos sexos;Personas;30
Total Nacional;09143 Galbarros;Hombres;Personas;18
Total Nacional;09143 Galbarros;Mujeres;Personas;12
Total Nacional;09144 Gallega, La;Ambos sexos;Personas;43
Total Nacional;09144 Gallega, La;Hombres;Personas;30
Total Nacional;09144 Gallega, La;Mujeres;Personas;13
Total Nacional;09148 Grijalba;Ambos sexos;Personas;113
Total Nacional;09148 Grijalba;Hombres;Personas;54
Total Nacional;09148 Grijalba;Mujeres;Personas;59
Total Nacional;09149 Grisaleña;Ambos sexos;Personas;66
Total Nacional;09149 Grisaleña;Hombres;Personas;45
Total Nacional;09149 Grisaleña;Mujeres;Personas;21
Total Nacional;09151 Gumiel de Izán;Ambos sexos;Personas;555
Total Nacional;09151 Gumiel de Izán;Hombres;Personas;309
Total Nacional;09151 Gumiel de Izán;Mujeres;Personas;246
Total Nacional;09152 Gumiel de Mercado;Ambos sexos;Personas;375
Total Nacional;09152 Gumiel de Mercado;Hombres;Personas;204
Total Nacional;09152 Gumiel de Mercado;Mujeres;Personas;171
Total Nacional;09154 Hacinas;Ambos sexos;Personas;151
Total Nacional;09154 Hacinas;Hombres;Personas;90
Total Nacional;09154 Hacinas;Mujeres;Personas;61
Total Nacional;09155 Haza;Ambos sexos;Personas;30
Total Nacional;09155 Haza;Hombres;Personas;20
Total Nacional;09155 Haza;Mujeres;Personas;10
Total Nacional;09159 Hontanas;Ambos sexos;Personas;73
Total Nacional;09159 Hontanas;Hombres;Personas;44
Total Nacional;09159 Hontanas;Mujeres;Personas;29
Total Nacional;09160 Hontangas;Ambos sexos;Personas;91
Total Nacional;09160 Hontangas;Hombres;Personas;54
Total Nacional;09160 Hontangas;Mujeres;Personas;37
Total Nacional;09162 Hontoria de la Cantera;Ambos sexos;Personas;143
Total Nacional;09162 Hontoria de la Cantera;Hombres;Personas;78
Total Nacional;09162 Hontoria de la Cantera;Mujeres;Personas;65
Total Nacional;09164 Hontoria de Valdearados;Ambos sexos;Personas;170
Total Nacional;09164 Hontoria de Valdearados;Hombres;Personas;103
Total Nacional;09164 Hontoria de Valdearados;Mujeres;Personas;67
Total Nacional;09163 Hontoria del Pinar;Ambos sexos;Personas;640
Total Nacional;09163 Hontoria del Pinar;Hombres;Personas;348
Total Nacional;09163 Hontoria del Pinar;Mujeres;Personas;292
Total Nacional;09166 Hormazas, Las;Ambos sexos;Personas;98
Total Nacional;09166 Hormazas, Las;Hombres;Personas;54
Total Nacional;09166 Hormazas, Las;Mujeres;Personas;44
Total Nacional;09167 Hornillos del Camino;Ambos sexos;Personas;56
Total Nacional;09167 Hornillos del Camino;Hombres;Personas;31
Total Nacional;09167 Hornillos del Camino;Mujeres;Personas;25
Total Nacional;09168 Horra, La;Ambos sexos;Personas;312
Total Nacional;09168 Horra, La;Hombres;Personas;179
Total Nacional;09168 Horra, La;Mujeres;Personas;133
Total Nacional;09169 Hortigüela;Ambos sexos;Personas;99
Total Nacional;09169 Hortigüela;Hombres;Personas;66
Total Nacional;09169 Hortigüela;Mujeres;Personas;33
Total Nacional;09170 Hoyales de Roa;Ambos sexos;Personas;225
Total Nacional;09170 Hoyales de Roa;Hombres;Personas;117
Total Nacional;09170 Hoyales de Roa;Mujeres;Personas;108
Total Nacional;09172 Huérmeces;Ambos sexos;Personas;164
Total Nacional;09172 Huérmeces;Hombres;Personas;95
Total Nacional;09172 Huérmeces;Mujeres;Personas;69
Total Nacional;09173 Huerta de Arriba;Ambos sexos;Personas;129
Total Nacional;09173 Huerta de Arriba;Hombres;Personas;72
Total Nacional;09173 Huerta de Arriba;Mujeres;Personas;57
Total Nacional;09174 Huerta de Rey;Ambos sexos;Personas;909
Total Nacional;09174 Huerta de Rey;Hombres;Personas;485
Total Nacional;09174 Huerta de Rey;Mujeres;Personas;424
Total Nacional;09175 Humada;Ambos sexos;Personas;121
Total Nacional;09175 Humada;Hombres;Personas;81
Total Nacional;09175 Humada;Mujeres;Personas;40
Total Nacional;09176 Hurones;Ambos sexos;Personas;57
Total Nacional;09176 Hurones;Hombres;Personas;39
Total Nacional;09176 Hurones;Mujeres;Personas;18
Total Nacional;09177 Ibeas de Juarros;Ambos sexos;Personas;1.437
Total Nacional;09177 Ibeas de Juarros;Hombres;Personas;771
Total Nacional;09177 Ibeas de Juarros;Mujeres;Personas;666
Total Nacional;09178 Ibrillos;Ambos sexos;Personas;37
Total Nacional;09178 Ibrillos;Hombres;Personas;25
Total Nacional;09178 Ibrillos;Mujeres;Personas;12
Total Nacional;09179 Iglesiarrubia;Ambos sexos;Personas;43
Total Nacional;09179 Iglesiarrubia;Hombres;Personas;23
Total Nacional;09179 Iglesiarrubia;Mujeres;Personas;20
Total Nacional;09180 Iglesias;Ambos sexos;Personas;146
Total Nacional;09180 Iglesias;Hombres;Personas;77
Total Nacional;09180 Iglesias;Mujeres;Personas;69
Total Nacional;09181 Isar;Ambos sexos;Personas;290
Total Nacional;09181 Isar;Hombres;Personas;150
Total Nacional;09181 Isar;Mujeres;Personas;140
Total Nacional;09182 Itero del Castillo;Ambos sexos;Personas;80
Total Nacional;09182 Itero del Castillo;Hombres;Personas;47
Total Nacional;09182 Itero del Castillo;Mujeres;Personas;33
Total Nacional;09183 Jaramillo de la Fuente;Ambos sexos;Personas;42
Total Nacional;09183 Jaramillo de la Fuente;Hombres;Personas;28
Total Nacional;09183 Jaramillo de la Fuente;Mujeres;Personas;14
Total Nacional;09184 Jaramillo Quemado;Ambos sexos;Personas;10
Total Nacional;09184 Jaramillo Quemado;Hombres;Personas;9
Total Nacional;09184 Jaramillo Quemado;Mujeres;Personas;1
Total Nacional;09189 Junta de Traslaloma;Ambos sexos;Personas;122
Total Nacional;09189 Junta de Traslaloma;Hombres;Personas;66
Total Nacional;09189 Junta de Traslaloma;Mujeres;Personas;56
Total Nacional;09190 Junta de Villalba de Losa;Ambos sexos;Personas;87
Total Nacional;09190 Junta de Villalba de Losa;Hombres;Personas;46
Total Nacional;09190 Junta de Villalba de Losa;Mujeres;Personas;41
Total Nacional;09191 Jurisdicción de Lara;Ambos sexos;Personas;31
Total Nacional;09191 Jurisdicción de Lara;Hombres;Personas;19
Total Nacional;09191 Jurisdicción de Lara;Mujeres;Personas;12
Total Nacional;09192 Jurisdicción de San Zadornil;Ambos sexos;Personas;62
Total Nacional;09192 Jurisdicción de San Zadornil;Hombres;Personas;37
Total Nacional;09192 Jurisdicción de San Zadornil;Mujeres;Personas;25
Total Nacional;09194 Lerma;Ambos sexos;Personas;2.596
Total Nacional;09194 Lerma;Hombres;Personas;1.306
Total Nacional;09194 Lerma;Mujeres;Personas;1.290
Total Nacional;09195 Llano de Bureba;Ambos sexos;Personas;53
Total Nacional;09195 Llano de Bureba;Hombres;Personas;37
Total Nacional;09195 Llano de Bureba;Mujeres;Personas;16
Total Nacional;09196 Madrigal del Monte;Ambos sexos;Personas;152
Total Nacional;09196 Madrigal del Monte;Hombres;Personas;92
Total Nacional;09196 Madrigal del Monte;Mujeres;Personas;60
Total Nacional;09197 Madrigalejo del Monte;Ambos sexos;Personas;181
Total Nacional;09197 Madrigalejo del Monte;Hombres;Personas;117
Total Nacional;09197 Madrigalejo del Monte;Mujeres;Personas;64
Total Nacional;09198 Mahamud;Ambos sexos;Personas;111
Total Nacional;09198 Mahamud;Hombres;Personas;61
Total Nacional;09198 Mahamud;Mujeres;Personas;50
Total Nacional;09199 Mambrilla de Castrejón;Ambos sexos;Personas;100
Total Nacional;09199 Mambrilla de Castrejón;Hombres;Personas;62
Total Nacional;09199 Mambrilla de Castrejón;Mujeres;Personas;38
Total Nacional;09200 Mambrillas de Lara;Ambos sexos;Personas;45
Total Nacional;09200 Mambrillas de Lara;Hombres;Personas;28
Total Nacional;09200 Mambrillas de Lara;Mujeres;Personas;17
Total Nacional;09201 Mamolar;Ambos sexos;Personas;26
Total Nacional;09201 Mamolar;Hombres;Personas;16
Total Nacional;09201 Mamolar;Mujeres;Personas;10
Total Nacional;09202 Manciles;Ambos sexos;Personas;22
Total Nacional;09202 Manciles;Hombres;Personas;14
Total Nacional;09202 Manciles;Mujeres;Personas;8
Total Nacional;09206 Mazuela;Ambos sexos;Personas;59
Total Nacional;09206 Mazuela;Hombres;Personas;36
Total Nacional;09206 Mazuela;Mujeres;Personas;23
Total Nacional;09208 Mecerreyes;Ambos sexos;Personas;196
Total Nacional;09208 Mecerreyes;Hombres;Personas;107
Total Nacional;09208 Mecerreyes;Mujeres;Personas;89
Total Nacional;09209 Medina de Pomar;Ambos sexos;Personas;5.827
Total Nacional;09209 Medina de Pomar;Hombres;Personas;2.947
Total Nacional;09209 Medina de Pomar;Mujeres;Personas;2.880
Total Nacional;09211 Melgar de Fernamental;Ambos sexos;Personas;1.558
Total Nacional;09211 Melgar de Fernamental;Hombres;Personas;848
Total Nacional;09211 Melgar de Fernamental;Mujeres;Personas;710
Total Nacional;09213 Merindad de Cuesta-Urria;Ambos sexos;Personas;288
Total Nacional;09213 Merindad de Cuesta-Urria;Hombres;Personas;164
Total Nacional;09213 Merindad de Cuesta-Urria;Mujeres;Personas;124
Total Nacional;09214 Merindad de Montija;Ambos sexos;Personas;728
Total Nacional;09214 Merindad de Montija;Hombres;Personas;432
Total Nacional;09214 Merindad de Montija;Mujeres;Personas;296
Total Nacional;09906 Merindad de Río Ubierna;Ambos sexos;Personas;1.435
Total Nacional;09906 Merindad de Río Ubierna;Hombres;Personas;807
Total Nacional;09906 Merindad de Río Ubierna;Mujeres;Personas;628
Total Nacional;09215 Merindad de Sotoscueva;Ambos sexos;Personas;409
Total Nacional;09215 Merindad de Sotoscueva;Hombres;Personas;234
Total Nacional;09215 Merindad de Sotoscueva;Mujeres;Personas;175
Total Nacional;09216 Merindad de Valdeporres;Ambos sexos;Personas;431
Total Nacional;09216 Merindad de Valdeporres;Hombres;Personas;226
Total Nacional;09216 Merindad de Valdeporres;Mujeres;Personas;205
Total Nacional;09217 Merindad de Valdivielso;Ambos sexos;Personas;386
Total Nacional;09217 Merindad de Valdivielso;Hombres;Personas;220
Total Nacional;09217 Merindad de Valdivielso;Mujeres;Personas;166
Total Nacional;09218 Milagros;Ambos sexos;Personas;441
Total Nacional;09218 Milagros;Hombres;Personas;245
Total Nacional;09218 Milagros;Mujeres;Personas;196
Total Nacional;09219 Miranda de Ebro;Ambos sexos;Personas;35.530
Total Nacional;09219 Miranda de Ebro;Hombres;Personas;17.531
Total Nacional;09219 Miranda de Ebro;Mujeres;Personas;17.999
Total Nacional;09220 Miraveche;Ambos sexos;Personas;85
Total Nacional;09220 Miraveche;Hombres;Personas;47
Total Nacional;09220 Miraveche;Mujeres;Personas;38
Total Nacional;09221 Modúbar de la Emparedada;Ambos sexos;Personas;764
Total Nacional;09221 Modúbar de la Emparedada;Hombres;Personas;416
Total Nacional;09221 Modúbar de la Emparedada;Mujeres;Personas;348
Total Nacional;09223 Monasterio de la Sierra;Ambos sexos;Personas;40
Total Nacional;09223 Monasterio de la Sierra;Hombres;Personas;24
Total Nacional;09223 Monasterio de la Sierra;Mujeres;Personas;16
Total Nacional;09224 Monasterio de Rodilla;Ambos sexos;Personas;165
Total Nacional;09224 Monasterio de Rodilla;Hombres;Personas;92
Total Nacional;09224 Monasterio de Rodilla;Mujeres;Personas;73
Total Nacional;09225 Moncalvillo;Ambos sexos;Personas;83
Total Nacional;09225 Moncalvillo;Hombres;Personas;46
Total Nacional;09225 Moncalvillo;Mujeres;Personas;37
Total Nacional;09226 Monterrubio de la Demanda;Ambos sexos;Personas;58
Total Nacional;09226 Monterrubio de la Demanda;Hombres;Personas;35
Total Nacional;09226 Monterrubio de la Demanda;Mujeres;Personas;23
Total Nacional;09227 Montorio;Ambos sexos;Personas;146
Total Nacional;09227 Montorio;Hombres;Personas;82
Total Nacional;09227 Montorio;Mujeres;Personas;64
Total Nacional;09228 Moradillo de Roa;Ambos sexos;Personas;165
Total Nacional;09228 Moradillo de Roa;Hombres;Personas;91
Total Nacional;09228 Moradillo de Roa;Mujeres;Personas;74
Total Nacional;09229 Nava de Roa;Ambos sexos;Personas;207
Total Nacional;09229 Nava de Roa;Hombres;Personas;111
Total Nacional;09229 Nava de Roa;Mujeres;Personas;96
Total Nacional;09230 Navas de Bureba;Ambos sexos;Personas;31
Total Nacional;09230 Navas de Bureba;Hombres;Personas;14
Total Nacional;09230 Navas de Bureba;Mujeres;Personas;17
Total Nacional;09231 Nebreda;Ambos sexos;Personas;51
Total Nacional;09231 Nebreda;Hombres;Personas;37
Total Nacional;09231 Nebreda;Mujeres;Personas;14
Total Nacional;09232 Neila;Ambos sexos;Personas;144
Total Nacional;09232 Neila;Hombres;Personas;82
Total Nacional;09232 Neila;Mujeres;Personas;62
Total Nacional;09235 Olmedillo de Roa;Ambos sexos;Personas;188
Total Nacional;09235 Olmedillo de Roa;Hombres;Personas;109
Total Nacional;09235 Olmedillo de Roa;Mujeres;Personas;79
Total Nacional;09236 Olmillos de Muñó;Ambos sexos;Personas;36
Total Nacional;09236 Olmillos de Muñó;Hombres;Personas;21
Total Nacional;09236 Olmillos de Muñó;Mujeres;Personas;15
Total Nacional;09238 Oña;Ambos sexos;Personas;1.007
Total Nacional;09238 Oña;Hombres;Personas;524
Total Nacional;09238 Oña;Mujeres;Personas;483
Total Nacional;09239 Oquillas;Ambos sexos;Personas;47
Total Nacional;09239 Oquillas;Hombres;Personas;26
Total Nacional;09239 Oquillas;Mujeres;Personas;21
Total Nacional;09241 Orbaneja Riopico;Ambos sexos;Personas;356
Total Nacional;09241 Orbaneja Riopico;Hombres;Personas;203
Total Nacional;09241 Orbaneja Riopico;Mujeres;Personas;153
Total Nacional;09242 Padilla de Abajo;Ambos sexos;Personas;76
Total Nacional;09242 Padilla de Abajo;Hombres;Personas;48
Total Nacional;09242 Padilla de Abajo;Mujeres;Personas;28
Total Nacional;09243 Padilla de Arriba;Ambos sexos;Personas;85
Total Nacional;09243 Padilla de Arriba;Hombres;Personas;52
Total Nacional;09243 Padilla de Arriba;Mujeres;Personas;33
Total Nacional;09244 Padrones de Bureba;Ambos sexos;Personas;45
Total Nacional;09244 Padrones de Bureba;Hombres;Personas;20
Total Nacional;09244 Padrones de Bureba;Mujeres;Personas;25
Total Nacional;09246 Palacios de la Sierra;Ambos sexos;Personas;701
Total Nacional;09246 Palacios de la Sierra;Hombres;Personas;356
Total Nacional;09246 Palacios de la Sierra;Mujeres;Personas;345
Total Nacional;09247 Palacios de Riopisuerga;Ambos sexos;Personas;22
Total Nacional;09247 Palacios de Riopisuerga;Hombres;Personas;12
Total Nacional;09247 Palacios de Riopisuerga;Mujeres;Personas;10
Total Nacional;09248 Palazuelos de la Sierra;Ambos sexos;Personas;86
Total Nacional;09248 Palazuelos de la Sierra;Hombres;Personas;53
Total Nacional;09248 Palazuelos de la Sierra;Mujeres;Personas;33
Total Nacional;09249 Palazuelos de Muñó;Ambos sexos;Personas;53
Total Nacional;09249 Palazuelos de Muñó;Hombres;Personas;28
Total Nacional;09249 Palazuelos de Muñó;Mujeres;Personas;25
Total Nacional;09250 Pampliega;Ambos sexos;Personas;293
Total Nacional;09250 Pampliega;Hombres;Personas;165
Total Nacional;09250 Pampliega;Mujeres;Personas;128
Total Nacional;09251 Pancorbo;Ambos sexos;Personas;423
Total Nacional;09251 Pancorbo;Hombres;Personas;223
Total Nacional;09251 Pancorbo;Mujeres;Personas;200
Total Nacional;09253 Pardilla;Ambos sexos;Personas;116
Total Nacional;09253 Pardilla;Hombres;Personas;70
